Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 0, 89
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 1, 5
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 2, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 3, 6
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 4, 5
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 5, 5
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 6, 5
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 7, 3
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 8, 2
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 9, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 10, 2
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 11, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 12, 5
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 13, 3
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 14, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 15, 3
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 16, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 17, 3
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 18, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 19, 2
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 20, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 21, 2
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 22, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 23, 3
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 24, 3
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 25, 3
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 26, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 27, 3
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 28, 3
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 29, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE, None, SAT, 30, 4
Run XY for exactly 2 B, Fuzzy, z3, SUPP, None, SAT, 0, 13
Run XY for exactly 2 B, Fuzzy, z3, SUPP, None, SAT, 1, 9
Run XY for exactly 2 B, Fuzzy, z3, SUPP, None, SAT, 2, 1
Run XY for exactly 2 B, Fuzzy, z3, SUPP, None, UNSAT, 3, 1
Run XY for exactly 2 B, Fuzzy, z3, MAXSUPP, None, SAT, 0, 94
Run XY for exactly 2 B, Fuzzy, z3, MAXSUPP, None, SAT, 1, 15
Run XY for exactly 2 B, Fuzzy, z3, MAXSUPP, None, SAT, 2, 6
Run XY for exactly 2 B, Fuzzy, z3, MAXSUPP, None, UNSAT, 3, 2
Run XY for exactly 2 B, Fuzzy, z3, NAIVE_QT, None, SAT, 0, 28
Run XY for exactly 2 B, Fuzzy, z3, NAIVE_QT, None, SAT, 1, 7
Run XY for exactly 2 B, Fuzzy, z3, NAIVE_QT, None, SAT, 2, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE_QT, None, SAT, 3, 4
Run XY for exactly 2 B, Fuzzy, z3, NAIVE_QT, None, SAT, 4, 10
Run XY for exactly 2 B, Fuzzy, z3, NAIVE_QT, None, SAT, 5, 4
