Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 0, 13
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 1, 2
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 2, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 3, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 4, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 5, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 6, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 7, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 8, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 9, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 10, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 11, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 12, 2
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 13, 2
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 14, 2
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 15, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 16, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 17, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 18, 2
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 19, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 20, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 21, 2
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 22, 2
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 23, 2
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 24, 3
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 25, 2
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 26, 2
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 27, 3
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 28, 2
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 29, 1
Run XY for exactly 2 B, Integer, z3, NAIVE, None, SAT, 30, 1
Run XY for exactly 2 B, Integer, z3, SUPP, None, SAT, 0, 14
Run XY for exactly 2 B, Integer, z3, SUPP, None, SAT, 1, 2
Run XY for exactly 2 B, Integer, z3, SUPP, None, SAT, 2, 1
