Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 0, 367
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 1, 143
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 2, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 3, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 4, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 5, 25
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 6, 30
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 7, 47
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 8, 46
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 9, 46
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 10, 36
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 11, 31
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 12, 36
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 13, 29
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 14, 37
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 15, 30
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 16, 32
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 17, 45
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 18, 29
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 19, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 20, 28
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 21, 22
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 22, 22
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 23, 25
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 24, 25
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 25, 27
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 26, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 27, 32
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 28, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 29, 27
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 30, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 0, 345
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 1, 114
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 2, 29
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 3, 39
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 4, 32
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 5, 29
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 6, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 7, 30
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 8, 25
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 9, 25
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 10, 33
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 11, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 12, 26
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 13, 28
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 14, 28
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 15, 30
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 16, 33
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 17, 27
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 18, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 19, 21
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 20, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 21, 35
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 22, 22
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 23, 25
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 24, 37
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 25, 35
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 26, 31
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 27, 41
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 28, 35
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 29, 34
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 30, 35
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 0, 421
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 1, 209
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 2, 146
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 3, 159
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 4, 158
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 5, 165
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 6, 164
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 7, 178
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 8, 168
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 9, 161
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 10, 156
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 11, 165
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 12, 142
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 13, 151
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 14, 151
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 15, 166
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 16, 166
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 17, 161
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 18, 161
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 19, 178
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 20, 187
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 21, 169
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 22, 165
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 23, 164
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 24, 166
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 25, 160
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 26, 168
