Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 0, 1392
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 1, 86
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 2, 25
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 3, 21
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 4, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 5, 40
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 6, 32
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 7, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 8, 26
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 9, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 10, 39
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 11, 31
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 12, 31
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 13, 25
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 14, 22
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 15, 31
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 16, 32
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 17, 25
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 18, 29
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 19, 32
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 20, 30
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 21, 30
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 22, 36
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 23, 30
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 24, 32
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 25, 34
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 26, 34
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 27, 35
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 28, 32
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 29, 22
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE, None, SAT, 30, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 0, 1368
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 1, 82
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 2, 32
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 3, 44
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 4, 25
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 5, 26
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 6, 25
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 7, 29
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 8, 21
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 9, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 10, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 11, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 12, 22
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 13, 28
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 14, 37
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 15, 37
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 16, 37
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 17, 37
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 18, 36
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 19, 31
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 20, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 21, 28
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 22, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 23, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 24, 26
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 25, 37
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 26, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 27, 44
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 28, 31
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 29, 34
Run tEx for 4 but exactly 2 Bank, Integer, z3, SUPP, None, SAT, 30, 27
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 0, 1362
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 1, 196
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 2, 168
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 3, 167
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 4, 170
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 5, 178
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 6, 159
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 7, 165
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 8, 141
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 9, 151
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 10, 170
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 11, 175
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 12, 179
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 13, 169
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 14, 175
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 15, 161
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 16, 188
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 17, 170
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 18, 162
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 19, 174
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 20, 184
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 21, 187
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 22, 208
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 23, 172
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 24, 183
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 25, 176
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 26, 179
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 27, 174
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 28, 200
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 29, 180
Run tEx for 4 but exactly 2 Bank, Integer, z3, MAXSUPP, None, SAT, 30, 177
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 0, 1342
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 1, 56
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 2, 18
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 3, 21
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 4, 21
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 5, 20
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 6, 20
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 7, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 8, 31
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 9, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 10, 24
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 11, 36
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 12, 23
Run tEx for 4 but exactly 2 Bank, Integer, z3, NAIVE_QT, None, SAT, 13, 20
