Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run Count for 5, Integer, z3, NAIVE, None, SAT, 0, 148
Run Count for 5, Integer, z3, NAIVE, None, SAT, 1, 81
Run Count for 5, Integer, z3, NAIVE, None, SAT, 2, 29
Run Count for 5, Integer, z3, NAIVE, None, SAT, 3, 22
Run Count for 5, Integer, z3, NAIVE, None, SAT, 4, 42
Run Count for 5, Integer, z3, NAIVE, None, SAT, 5, 27
Run Count for 5, Integer, z3, NAIVE, None, SAT, 6, 23
Run Count for 5, Integer, z3, NAIVE, None, SAT, 7, 20
Run Count for 5, Integer, z3, NAIVE, None, SAT, 8, 31
Run Count for 5, Integer, z3, NAIVE, None, SAT, 9, 33
Run Count for 5, Integer, z3, NAIVE, None, SAT, 10, 26
Run Count for 5, Integer, z3, NAIVE, None, SAT, 11, 24
Run Count for 5, Integer, z3, NAIVE, None, SAT, 12, 38
Run Count for 5, Integer, z3, NAIVE, None, SAT, 13, 24
Run Count for 5, Integer, z3, NAIVE, None, SAT, 14, 25
Run Count for 5, Integer, z3, NAIVE, None, SAT, 15, 27
Run Count for 5, Integer, z3, NAIVE, None, SAT, 16, 28
Run Count for 5, Integer, z3, NAIVE, None, SAT, 17, 20
Run Count for 5, Integer, z3, NAIVE, None, SAT, 18, 26
Run Count for 5, Integer, z3, NAIVE, None, SAT, 19, 21
Run Count for 5, Integer, z3, NAIVE, None, SAT, 20, 21
Run Count for 5, Integer, z3, NAIVE, None, SAT, 21, 23
Run Count for 5, Integer, z3, NAIVE, None, SAT, 22, 23
Run Count for 5, Integer, z3, NAIVE, None, SAT, 23, 23
Run Count for 5, Integer, z3, NAIVE, None, SAT, 24, 19
Run Count for 5, Integer, z3, NAIVE, None, SAT, 25, 19
Run Count for 5, Integer, z3, NAIVE, None, SAT, 26, 25
Run Count for 5, Integer, z3, NAIVE, None, SAT, 27, 20
Run Count for 5, Integer, z3, NAIVE, None, SAT, 28, 21
Run Count for 5, Integer, z3, NAIVE, None, SAT, 29, 20
Run Count for 5, Integer, z3, NAIVE, None, SAT, 30, 19
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 0, 99
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 1, 61
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 2, 25
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 3, 20
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 4, 24
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 5, 30
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 6, 23
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 7, 28
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 8, 23
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 9, 42
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 10, 23
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 11, 27
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 12, 20
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 13, 28
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 14, 21
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 15, 24
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 16, 20
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 17, 28
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 18, 33
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 19, 20
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 20, 25
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 21, 29
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 22, 31
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 23, 26
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 24, 27
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 25, 23
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 26, 23
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 27, 22
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 28, 21
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 29, 25
Run Forest for 5, Integer, z3, NAIVE, None, SAT, 30, 21
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 0, 211
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 1, 62
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 2, 26
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 3, 37
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 4, 34
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 5, 41
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 6, 26
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 7, 25
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 8, 23
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 9, 28
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 10, 42
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 11, 49
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 12, 24
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 13, 22
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 14, 27
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 15, 25
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 16, 29
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 17, 28
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 18, 23
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 19, 39
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 20, 26
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 21, 25
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 22, 24
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 23, 51
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 24, 25
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 25, 24
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 26, 24
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 27, 23
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 28, 31
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 29, 23
Run Connected for 5, Integer, z3, NAIVE, None, SAT, 30, 23
Run Count for 5, Integer, z3, SUPP, None, SAT, 0, 129
Run Count for 5, Integer, z3, SUPP, None, SAT, 1, 96
Run Count for 5, Integer, z3, SUPP, None, SAT, 2, 42
Run Count for 5, Integer, z3, SUPP, None, SAT, 3, 33
Run Count for 5, Integer, z3, SUPP, None, SAT, 4, 45
Run Count for 5, Integer, z3, SUPP, None, SAT, 5, 24
Run Count for 5, Integer, z3, SUPP, None, SAT, 6, 20
Run Count for 5, Integer, z3, SUPP, None, SAT, 7, 31
Run Count for 5, Integer, z3, SUPP, None, SAT, 8, 27
Run Count for 5, Integer, z3, SUPP, None, SAT, 9, 28
Run Count for 5, Integer, z3, SUPP, None, SAT, 10, 24
Run Count for 5, Integer, z3, SUPP, None, SAT, 11, 22
Run Count for 5, Integer, z3, SUPP, None, SAT, 12, 26
Run Count for 5, Integer, z3, SUPP, None, SAT, 13, 23
Run Count for 5, Integer, z3, SUPP, None, SAT, 14, 25
Run Count for 5, Integer, z3, SUPP, None, SAT, 15, 27
Run Count for 5, Integer, z3, SUPP, None, SAT, 16, 20
Run Count for 5, Integer, z3, SUPP, None, SAT, 17, 20
Run Count for 5, Integer, z3, SUPP, None, SAT, 18, 21
Run Count for 5, Integer, z3, SUPP, None, SAT, 19, 27
Run Count for 5, Integer, z3, SUPP, None, SAT, 20, 28
Run Count for 5, Integer, z3, SUPP, None, SAT, 21, 24
Run Count for 5, Integer, z3, SUPP, None, SAT, 22, 30
Run Count for 5, Integer, z3, SUPP, None, SAT, 23, 23
Run Count for 5, Integer, z3, SUPP, None, SAT, 24, 20
Run Count for 5, Integer, z3, SUPP, None, SAT, 25, 22
Run Count for 5, Integer, z3, SUPP, None, SAT, 26, 22
Run Count for 5, Integer, z3, SUPP, None, SAT, 27, 34
Run Count for 5, Integer, z3, SUPP, None, SAT, 28, 26
Run Count for 5, Integer, z3, SUPP, None, SAT, 29, 22
Run Count for 5, Integer, z3, SUPP, None, SAT, 30, 31
Run Forest for 5, Integer, z3, SUPP, None, SAT, 0, 98
Run Forest for 5, Integer, z3, SUPP, None, SAT, 1, 81
Run Forest for 5, Integer, z3, SUPP, None, SAT, 2, 28
Run Forest for 5, Integer, z3, SUPP, None, SAT, 3, 20
Run Forest for 5, Integer, z3, SUPP, None, SAT, 4, 31
Run Forest for 5, Integer, z3, SUPP, None, SAT, 5, 38
Run Forest for 5, Integer, z3, SUPP, None, SAT, 6, 23
Run Forest for 5, Integer, z3, SUPP, None, SAT, 7, 27
Run Forest for 5, Integer, z3, SUPP, None, SAT, 8, 26
Run Forest for 5, Integer, z3, SUPP, None, SAT, 9, 27
Run Forest for 5, Integer, z3, SUPP, None, SAT, 10, 36
Run Forest for 5, Integer, z3, SUPP, None, SAT, 11, 30
Run Forest for 5, Integer, z3, SUPP, None, SAT, 12, 22
Run Forest for 5, Integer, z3, SUPP, None, SAT, 13, 22
Run Forest for 5, Integer, z3, SUPP, None, SAT, 14, 38
Run Forest for 5, Integer, z3, SUPP, None, SAT, 15, 28
Run Forest for 5, Integer, z3, SUPP, None, SAT, 16, 37
Run Forest for 5, Integer, z3, SUPP, None, SAT, 17, 26
Run Forest for 5, Integer, z3, SUPP, None, SAT, 18, 22
Run Forest for 5, Integer, z3, SUPP, None, SAT, 19, 28
Run Forest for 5, Integer, z3, SUPP, None, SAT, 20, 41
Run Forest for 5, Integer, z3, SUPP, None, SAT, 21, 28
Run Forest for 5, Integer, z3, SUPP, None, SAT, 22, 24
Run Forest for 5, Integer, z3, SUPP, None, SAT, 23, 21
Run Forest for 5, Integer, z3, SUPP, None, SAT, 24, 21
Run Forest for 5, Integer, z3, SUPP, None, SAT, 25, 39
Run Forest for 5, Integer, z3, SUPP, None, SAT, 26, 22
Run Forest for 5, Integer, z3, SUPP, None, SAT, 27, 33
Run Forest for 5, Integer, z3, SUPP, None, SAT, 28, 23
Run Forest for 5, Integer, z3, SUPP, None, SAT, 29, 33
Run Forest for 5, Integer, z3, SUPP, None, SAT, 30, 21
Run Connected for 5, Integer, z3, SUPP, None, SAT, 0, 216
Run Connected for 5, Integer, z3, SUPP, None, SAT, 1, 133
Run Connected for 5, Integer, z3, SUPP, None, SAT, 2, 25
Run Connected for 5, Integer, z3, SUPP, None, SAT, 3, 25
Run Connected for 5, Integer, z3, SUPP, None, SAT, 4, 26
Run Connected for 5, Integer, z3, SUPP, None, SAT, 5, 23
Run Connected for 5, Integer, z3, SUPP, None, SAT, 6, 30
Run Connected for 5, Integer, z3, SUPP, None, SAT, 7, 29
Run Connected for 5, Integer, z3, SUPP, None, SAT, 8, 54
Run Connected for 5, Integer, z3, SUPP, None, SAT, 9, 34
Run Connected for 5, Integer, z3, SUPP, None, SAT, 10, 26
Run Connected for 5, Integer, z3, SUPP, None, SAT, 11, 30
Run Connected for 5, Integer, z3, SUPP, None, SAT, 12, 26
