Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 0, 248
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 1, 49
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 2, 20
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 3, 18
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 4, 19
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 5, 17
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 6, 19
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 7, 16
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 8, 22
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 9, 12
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 10, 19
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 11, 12
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 12, 17
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 13, 11
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 14, 11
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 15, 13
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 16, 18
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 17, 20
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 18, 19
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 19, 18
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 20, 18
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 21, 15
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 22, 14
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 23, 12
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 24, 11
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 25, 11
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 26, 12
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 27, 17
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 28, 14
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 29, 10
Run highTemperature, Fuzzy, z3, NAIVE, None, SAT, 30, 16
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 0, 131
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 1, 50
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 2, 20
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 3, 22
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 4, 18
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 5, 22
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 6, 12
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 7, 21
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 8, 17
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 9, 12
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 10, 15
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 11, 13
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 12, 15
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 13, 16
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 14, 15
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 15, 13
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 16, 13
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 17, 15
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 18, 11
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 19, 15
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 20, 12
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 21, 10
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 22, 13
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 23, 14
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 24, 14
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 25, 12
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 26, 13
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 27, 12
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 28, 13
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 29, 18
Run lowHumidityExtends, Fuzzy, z3, NAIVE, None, SAT, 30, 13
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 0, 153
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 1, 61
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 2, 17
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 3, 13
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 4, 20
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 5, 24
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 6, 17
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 7, 19
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 8, 16
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 9, 15
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 10, 16
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 11, 13
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 12, 16
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 13, 15
Run highTemperature, Fuzzy, z3, SUPP, None, SAT, 14, 14
Run highTemperature, Fuzzy, z3, SUPP, None, UNSAT, 15, 1
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 0, 125
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 1, 54
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 2, 18
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 3, 17
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 4, 17
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 5, 13
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 6, 12
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 7, 11
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 8, 11
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 9, 11
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 10, 11
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 11, 10
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 12, 11
Run lowHumidityExtends, Fuzzy, z3, SUPP, None, SAT, 13, 11
