Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 0, 2885
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 1, 207
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 2, 30
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 3, 27
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 4, 31
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 5, 20
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 6, 22
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 7, 21
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 8, 32
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 9, 23
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 10, 28
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 11, 26
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 12, 23
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 13, 28
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 14, 28
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 15, 18
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 16, 20
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 17, 29
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 18, 34
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 19, 29
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 20, 17
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 21, 26
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 22, 25
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 23, 21
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 24, 23
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 25, 19
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 26, 35
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 27, 23
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 28, 30
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 29, 32
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 30, 33
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 0, 28717
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 1, 1029
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 2, 44
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 3, 55
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 4, 59
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 5, 45
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 6, 63
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 7, 45
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 8, 41
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 9, 57
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 10, 61
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 11, 47
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 12, 48
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 13, 46
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 14, 42
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 15, 62
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 16, 56
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 17, 57
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 18, 84
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 19, 79
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 20, 49
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 21, 50
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 22, 55
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 23, 53
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 24, 58
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 25, 48
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 26, 53
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 27, 48
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 28, 71
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 29, 52
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 30, 63
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 0, 2695
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 1, 108
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 2, 21
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 3, 21
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 4, 265
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 5, 19
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 6, 28
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 7, 26
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 8, 31
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 9, 22
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 10, 51
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 11, 24
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 12, 25
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 13, 20
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 14, 38
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 15, 32
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 16, 28
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 17, 22
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 18, 22
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 19, 133
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 20, 26
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 21, 34
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 22, 21
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 23, 107
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 24, 22
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 25, 20
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 26, 31
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 27, 83
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 28, 30
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 29, 21
