Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 0, 27
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 1, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 2, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 3, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 4, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 5, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 6, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 7, 3
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 8, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 9, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 10, 3
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 11, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 12, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 13, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 14, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 15, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 16, 3
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 17, 3
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 18, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 19, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 20, 3
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 21, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 22, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 23, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 24, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 25, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 26, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 27, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 28, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 29, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 30, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 0, 32
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 1, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 2, 3
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 3, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 4, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 5, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 6, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 7, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 8, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 9, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 10, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 11, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 12, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 13, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 14, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 15, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 16, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 17, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 18, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 19, 8
