Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 0, 33
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 1, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 2, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 3, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 4, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 5, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 6, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 7, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 8, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 9, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 10, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 11, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 12, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 13, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 14, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 15, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 16, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 17, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 18, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 19, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 20, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 21, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 22, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 23, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 24, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 25, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 26, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 27, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 28, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 29, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 30, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 0, 32
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 1, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 2, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 3, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 4, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 5, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 6, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 7, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 8, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 9, 4
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 10, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 11, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 12, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 13, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 14, 7
