Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 0, 37
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 1, 19
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 2, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 3, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 4, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 5, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 6, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 7, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 8, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 9, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 10, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 11, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 12, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 13, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 14, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 15, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 16, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 17, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 18, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 19, 12
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 20, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 21, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 22, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 23, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 24, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 25, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 26, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 27, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 28, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 29, 12
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 30, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 0, 40
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 1, 26
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 2, 14
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 3, 11
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 4, 13
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 5, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 6, 16
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 7, 13
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 8, 13
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 9, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 10, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 11, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 12, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 13, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 14, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 15, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 16, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 17, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 18, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 19, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 20, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 21, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 22, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 23, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 24, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 25, 7
