Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 0, 54
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 1, 21
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 2, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 3, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 4, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 5, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 6, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 7, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 8, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 9, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 10, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 11, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 12, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 13, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 14, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 15, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 16, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 17, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 18, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 19, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 20, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 21, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 22, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 23, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 24, 12
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 25, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 26, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 27, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 28, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 29, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, NAIVE, None, SAT, 30, 11
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 0, 63
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 1, 24
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 2, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 3, 11
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 4, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 5, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 6, 12
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 7, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 8, 13
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 9, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 10, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 11, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 12, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 13, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 14, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 15, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 16, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 17, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 18, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 19, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 20, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 21, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 22, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 23, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 24, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 25, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 26, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 27, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 28, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 29, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 30, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 0, 67
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 1, 24
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 2, 15
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 3, 15
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 4, 26
