Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 0, 10842
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 1, 466
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 2, 157
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 3, 153
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 4, 159
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 5, 165
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 6, 167
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 7, 157
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 8, 161
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 9, 156
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 10, 156
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 11, 159
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 12, 174
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 13, 176
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 14, 176
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 15, 179
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 16, 178
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 17, 184
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 18, 181
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 19, 182
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 20, 180
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 21, 182
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 22, 195
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 23, 181
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 24, 182
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 25, 181
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 26, 182
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 27, 185
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 28, 182
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 29, 185
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, NAIVE, None, SAT, 30, 190
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, SUPP, None, SAT, 0, 10523
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, SUPP, None, SAT, 1, 431
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, SUPP, None, SAT, 2, 186
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, SUPP, None, SAT, 3, 192
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, SUPP, None, SAT, 4, 166
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, SUPP, None, SAT, 5, 180
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, SUPP, None, SAT, 6, 176
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, SUPP, None, SAT, 7, 243
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, SUPP, None, SAT, 8, 161
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, SUPP, None, UNSAT, 9, 53
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, MAXSUPP, None, SAT, 0, 10832
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, MAXSUPP, None, SAT, 1, 549
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, MAXSUPP, None, SAT, 2, 360
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, MAXSUPP, None, SAT, 3, 396
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, MAXSUPP, None, SAT, 4, 377
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, MAXSUPP, None, SAT, 5, 419
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, MAXSUPP, None, SAT, 6, 449
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, MAXSUPP, None, SAT, 7, 380
Run threeToTwo for exactly 6 Portrait, Fuzzy, z3, MAXSUPP, None, SAT, 8, 403
