Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 0, 127
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 1, 85
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 2, 19
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 3, 10
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 4, 11
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 5, 19
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 6, 22
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 7, 13
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 8, 16
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 9, 16
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 10, 16
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 11, 16
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 12, 18
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 13, 13
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 14, 9
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 15, 10
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 16, 12
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 17, 10
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 18, 19
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 19, 11
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 20, 11
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 21, 10
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 22, 14
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 23, 11
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 24, 18
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 25, 21
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 26, 17
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 27, 21
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 28, 14
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 29, 13
Run two_diagnosis for 1 Patient, Fuzzy, z3, NAIVE, None, SAT, 30, 10
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 0, 16395
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 1, 563
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 2, 30
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 3, 38
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 4, 31
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 5, 34
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 6, 34
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 7, 33
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 8, 37
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 9, 33
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 10, 43
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 11, 33
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 12, 45
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 13, 33
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 14, 31
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 15, 35
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 16, 35
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 17, 34
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 18, 41
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 19, 36
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 20, 36
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 21, 38
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 22, 40
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 23, 46
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 24, 58
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 25, 37
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 26, 39
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 27, 42
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 28, 51
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 29, 42
Run same_diagnosis for 2 Patient, Fuzzy, z3, NAIVE, None, SAT, 30, 54
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 0, 120
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 1, 59
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 2, 13
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 3, 15
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 4, 29
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 5, 17
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 6, 20
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 7, 31
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 8, 19
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 9, 13
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 10, 20
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 11, 13
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 12, 15
Run two_diagnosis for 1 Patient, Fuzzy, z3, SUPP, None, SAT, 13, 19
