Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run bags for 3, Integer, z3, NAIVE, None, SAT, 0, 27
Run bags for 3, Integer, z3, NAIVE, None, SAT, 1, 11
Run bags for 3, Integer, z3, NAIVE, None, SAT, 2, 3
Run bags for 3, Integer, z3, NAIVE, None, SAT, 3, 4
Run bags for 3, Integer, z3, NAIVE, None, SAT, 4, 5
Run bags for 3, Integer, z3, NAIVE, None, SAT, 5, 5
Run bags for 3, Integer, z3, NAIVE, None, SAT, 6, 4
Run bags for 3, Integer, z3, NAIVE, None, SAT, 7, 4
Run bags for 3, Integer, z3, NAIVE, None, SAT, 8, 4
Run bags for 3, Integer, z3, NAIVE, None, SAT, 9, 4
Run bags for 3, Integer, z3, NAIVE, None, SAT, 10, 3
Run bags for 3, Integer, z3, NAIVE, None, SAT, 11, 5
Run bags for 3, Integer, z3, NAIVE, None, SAT, 12, 5
Run bags for 3, Integer, z3, NAIVE, None, SAT, 13, 5
Run bags for 3, Integer, z3, NAIVE, None, SAT, 14, 7
Run bags for 3, Integer, z3, NAIVE, None, SAT, 15, 6
Run bags for 3, Integer, z3, NAIVE, None, SAT, 16, 6
Run bags for 3, Integer, z3, NAIVE, None, SAT, 17, 8
Run bags for 3, Integer, z3, NAIVE, None, SAT, 18, 6
Run bags for 3, Integer, z3, NAIVE, None, SAT, 19, 4
Run bags for 3, Integer, z3, NAIVE, None, SAT, 20, 6
Run bags for 3, Integer, z3, NAIVE, None, SAT, 21, 5
Run bags for 3, Integer, z3, NAIVE, None, SAT, 22, 5
Run bags for 3, Integer, z3, NAIVE, None, SAT, 23, 5
Run bags for 3, Integer, z3, NAIVE, None, SAT, 24, 6
Run bags for 3, Integer, z3, NAIVE, None, SAT, 25, 5
Run bags for 3, Integer, z3, NAIVE, None, SAT, 26, 6
Run bags for 3, Integer, z3, NAIVE, None, SAT, 27, 5
Run bags for 3, Integer, z3, NAIVE, None, SAT, 28, 7
Run bags for 3, Integer, z3, NAIVE, None, SAT, 29, 8
Run bags for 3, Integer, z3, NAIVE, None, SAT, 30, 5
Check hasMilk for 3 but 2 Bag, Integer, z3, NAIVE, None, SAT, 0, 58
Check hasMilk for 3 but 2 Bag, Integer, z3, NAIVE, None, SAT, 1, 22
Check hasMilk for 3 but 2 Bag, Integer, z3, NAIVE, None, SAT, 2, 3
Check hasMilk for 3 but 2 Bag, Integer, z3, NAIVE, None, SAT, 3, 4
Check hasMilk for 3 but 2 Bag, Integer, z3, NAIVE, None, SAT, 4, 3
Check hasMilk for 3 but 2 Bag, Integer, z3, NAIVE, None, SAT, 5, 4
