Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 0, 3504
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 1, 2603
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 2, 199
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 3, 265
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 4, 226
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 5, 332
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 6, 391
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 7, 14088
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 8, 406
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 9, 375
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 10, 400
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 11, 268
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 12, 437
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 13, 4710
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 14, 281
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 15, 436
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 16, 264
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 17, 492
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, UNKNOWN, 18, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 0, 4635
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 1, 1005
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 2, 131
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 3, 129
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 4, 276
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 5, 285
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 6, 143
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 7, 277
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 8, 276
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 9, 131
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 10, 274
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 11, 324
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 12, 142
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 13, 133
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 14, 145
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 15, 145
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 16, 135
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 17, 128
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 18, 162
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 19, 134
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 20, 151
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 21, 146
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 22, 148
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 23, 284
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 24, 289
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 25, 289
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 26, 282
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 27, 141
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 28, 141
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 29, 146
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE, None, SAT, 30, 138
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 0, 3490
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 1, 2252
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, SUPP, None, UNKNOWN, 2, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 0, 4656
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 1, 882
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 2, 86
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 3, 1735
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 4, 406
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 5, 71
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 6, 68
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 7, 353
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 8, 347
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 9, 4158
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 10, 372
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 11, 64
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 12, 273
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 13, 125
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 14, 105
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 15, 1689
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 16, 478
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 17, 205
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 18, 12267
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 19, 82
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 20, 107
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 21, 146
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, SAT, 22, 6276
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SUPP, None, UNKNOWN, 23, timeout
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, MAXSUPP, None, SAT, 0, 3428
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, MAXSUPP, None, UNKNOWN, 1, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, MAXSUPP, None, SAT, 0, 4488
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, MAXSUPP, None, UNKNOWN, 1, timeout
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 0, 3460
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 1, 201
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 2, 73
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 3, 73
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 4, 96
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 5, 74
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 6, 53
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 7, 53
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 8, 50
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 9, 55
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 10, 52
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 11, 57
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 12, 55
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 13, 54
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 14, 56
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 15, 63
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 16, 61
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 17, 57
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 18, 55
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 19, 69
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 20, 58
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 21, 58
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 22, 63
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 23, 60
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 24, 70
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 25, 61
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 26, 59
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 27, 57
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 28, 56
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 29, 62
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 30, 58
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 0, 4562
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 1, 206
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 2, 55
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 3, 55
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 4, 56
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 5, 56
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 6, 58
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 7, 58
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 8, 70
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 9, 59
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 10, 75
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 11, 62
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 12, 54
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 13, 69
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 14, 54
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 15, 58
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 16, 63
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 17, 59
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 18, 56
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 19, 78
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 20, 60
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 21, 64
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 22, 53
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 23, 60
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 24, 56
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 25, 62
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 26, 59
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 27, 62
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 28, 60
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 29, 56
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, NAIVE_QT, None, SAT, 30, 55
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, SDST, LEX, SAT, 0, 3485
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, SDST, LEX, UNKNOWN, 1, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, LEX, SAT, 0, 4594
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, LEX, SAT, 1, 1512
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, LEX, SAT, 2, 3438
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, LEX, SAT, 3, 18757
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, LEX, SAT, 4, 27628
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, LEX, SAT, 5, 46656
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, LEX, UNKNOWN, 6, timeout
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, SDST, BOX, SAT, 0, 3481
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, SDST, BOX, UNKNOWN, 1, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, BOX, SAT, 0, 4609
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, BOX, SAT, 1, 1520
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, BOX, UNKNOWN, 2, timeout
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, SDST, PARETO, SAT, 0, 3488
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, SDST, PARETO, UNKNOWN, 1, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, PARETO, SAT, 0, 4639
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, PARETO, SAT, 1, 1539
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SDST, PARETO, UNKNOWN, 2, timeout
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VDST, LEX, SAT, 0, 3452
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VDST, LEX, UNKNOWN, 1, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VDST, LEX, SAT, 0, 4588
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VDST, LEX, UNKNOWN, 1, timeout
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VDST, BOX, SAT, 0, 3457
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VDST, BOX, UNKNOWN, 1, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VDST, BOX, SAT, 0, 4593
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VDST, BOX, UNKNOWN, 1, timeout
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VDST, PARETO, SAT, 0, 3463
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VDST, PARETO, UNKNOWN, 1, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VDST, PARETO, SAT, 0, 4620
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VDST, PARETO, UNKNOWN, 1, timeout
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VAVG, LEX, SAT, 0, 3463
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VAVG, LEX, SAT, 1, 203
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VAVG, LEX, SAT, 2, 117
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VAVG, LEX, UNKNOWN, 3, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VAVG, LEX, SAT, 0, 4668
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VAVG, LEX, SAT, 1, 688
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VAVG, LEX, UNKNOWN, 2, timeout
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VAVG, BOX, SAT, 0, 3492
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VAVG, BOX, SAT, 1, 464
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VAVG, BOX, SAT, 2, 870
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VAVG, BOX, UNKNOWN, 3, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VAVG, BOX, SAT, 0, 4613
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VAVG, BOX, SAT, 1, 7848
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VAVG, BOX, UNKNOWN, 2, timeout
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VAVG, PARETO, SAT, 0, 3474
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, VAVG, PARETO, UNKNOWN, 1, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VAVG, PARETO, SAT, 0, 4640
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, VAVG, PARETO, UNKNOWN, 1, timeout
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, SAVG, None, SAT, 0, 3469
Run findGenerousTip for 1 but exactly 3 Rule, Fuzzy, z3, SAVG, None, UNKNOWN, 1, timeout
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SAVG, None, SAT, 0, 4683
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SAVG, None, SAT, 1, 1355
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SAVG, None, SAT, 2, 5155
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SAVG, None, SAT, 3, 13436
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SAVG, None, SAT, 4, 580
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SAVG, None, SAT, 5, 946
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SAVG, None, SAT, 6, 2084
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SAVG, None, SAT, 7, 418
Check wasItGoodService for 2 but exactly 3 Rule, Fuzzy, z3, SAVG, None, UNKNOWN, 8, timeout
